               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.024979,            0.037771,           0.0031061,             0.75037,             0.59831,             0.61881,             0.39536,            0.023999,            0.032946,           0.0059666,             0.00721,             0.00721,             0.00721
                  64,            0.024829,            0.037592,           0.0031091,             0.72483,             0.59179,             0.58729,             0.34651,            0.025981,            0.034971,           0.0059845,            0.007165,            0.007165,            0.007165
                  65,            0.025106,            0.038874,           0.0032145,             0.75042,             0.58591,             0.56926,             0.37274,            0.023696,            0.033995,           0.0062218,             0.00712,             0.00712,             0.00712
                  66,            0.024695,            0.037159,           0.0030001,             0.72966,             0.62248,              0.5657,             0.34939,            0.025033,            0.033535,           0.0061939,            0.007075,            0.007075,            0.007075
                  67,            0.024957,            0.039269,           0.0033153,             0.73602,             0.60578,             0.58831,             0.38848,            0.022971,            0.032341,           0.0063023,             0.00703,             0.00703,             0.00703
                  68,            0.024708,            0.035447,           0.0029844,             0.74736,             0.59785,             0.60535,             0.38661,            0.023812,            0.032276,           0.0058716,            0.006985,            0.006985,            0.006985
                  69,            0.025016,            0.037963,           0.0034589,             0.73953,              0.5982,             0.59054,             0.37912,            0.023384,            0.032776,            0.005756,             0.00694,             0.00694,             0.00694
                  70,            0.024233,            0.038583,            0.003374,             0.74184,             0.58962,             0.57435,             0.36203,            0.025439,            0.035027,           0.0059071,            0.006895,            0.006895,            0.006895
                  71,            0.024129,            0.037296,           0.0034667,             0.74237,             0.58145,              0.5542,             0.37016,            0.023925,            0.034695,           0.0058113,             0.00685,             0.00685,             0.00685
                  72,            0.023542,            0.035608,           0.0029688,             0.76272,             0.57347,             0.58295,             0.37734,            0.025119,            0.033994,           0.0059486,            0.006805,            0.006805,            0.006805
                  73,            0.023523,            0.035995,           0.0026214,               0.792,             0.57272,             0.57761,             0.36853,            0.025481,            0.033731,           0.0057072,             0.00676,             0.00676,             0.00676
                  74,            0.023285,            0.035481,           0.0027194,             0.82312,             0.56563,             0.58609,             0.37667,            0.024397,            0.034888,           0.0055691,            0.006715,            0.006715,            0.006715
                  75,            0.021951,             0.03501,           0.0027931,             0.79959,             0.55052,             0.58617,             0.38865,            0.023723,            0.033831,            0.005909,             0.00667,             0.00667,             0.00667
                  76,            0.023072,            0.036407,           0.0032446,             0.79479,             0.57945,             0.60598,             0.38103,            0.024478,            0.033309,           0.0056236,            0.006625,            0.006625,            0.006625
                  77,            0.023219,            0.036507,           0.0027251,              0.7696,             0.61279,             0.62218,             0.40698,            0.023037,            0.032962,           0.0055641,             0.00658,             0.00658,             0.00658
                  78,            0.022969,            0.037319,            0.002564,             0.77741,             0.55745,             0.57227,             0.37182,            0.024508,              0.0342,           0.0061062,            0.006535,            0.006535,            0.006535
                  79,            0.023192,            0.035622,           0.0025439,             0.77144,             0.59204,               0.583,             0.38209,            0.023051,            0.033524,            0.005938,             0.00649,             0.00649,             0.00649
                  80,            0.022616,            0.035456,           0.0030013,             0.74516,              0.6212,             0.58833,               0.355,            0.024921,            0.034086,           0.0056732,            0.006445,            0.006445,            0.006445
